Rank,Name,School,Grade,Position,Height,Weight,40 Time,Conference,Projected Round,Projected Team,Strengths,Weaknesses,Analysis,,
93,Jackie Marshall,BAY,3.29,DT,"6'2""",300,5.12,BIG 12,7th,TBD,"Quick and explosive one-gap defensive tackle who can line up at the three-technique spot. Plays with terrific pad level, gets leverage on opponents and shows mobility. Gives great effort, easily redirects to the action and works to make plays against the run. Effectively uses his hands, keeps his feet moving and flashes power in his game. Smooth moving laterally, fights with his hands and stays with the action.",Lacks bulk and strength and gets tied up in blocks or out-positioned from the action. Does not display a great first step for a smaller lineman. Average production the past two seasons and does not present himself to be a great pass rusher.,Marshall is a hard-charging lineman who struggled playing end in Baylor's three-man line last season. He has enough skill to be a backup in a four-man front on Sundays.,,
93,Jalen McMurray,TENN,3.29,CB,N/A,N/A,N/A,SEC,7th,TBD,N/A,N/A,N/A,,
93,Josh Thompson,LSU,3.29,G,"6'4""",310,5.28,SEC,7th,TBD,N/A,N/A,N/A,,
93,Keyshawn James-Newby,UNM,3.29,DE,"6'1.5""",239,4.75,MWC,7th,TBD,N/A,N/A,N/A,,
93,Nick Dawkins,PSU,3.29,C,"6'4.5""",300,5.21,BIG 10,7th,TBD,N/A,N/A,N/A,,
93,Noah Whittington,ORE,3.29,RB,"5'8""",201,4.48,BIG 10,7th,TBD,N/A,N/A,N/A,,
94,Ahmaad Moses,SMU,3.28,S,"5'9.5""",202,4.52,ACC,7th,TBD,"Athletic and quick defensive back who is coming off a sensational senior season. Effectively reads or diagnoses the action, quickly picks up coverage assignments and moves well laterally. Runs sideline to sideline, tracks the pass in the air and displays solid ball skills. Shows ability in man coverage and works well with cornerbacks. Works to keep the action in front of him, explodes upfield and sells out to defend the run. Senior totals included 104 tackles, five interceptions and three PBUs",Lacks a quick and fluid backpedal. Show stiffness in his game. Better making plays up the field than in reverse.,"Moses entered the season graded as a potential late-round pick, and his senior campaign could cement him in that area of the draft. He lacks great size, but he shows a head for the football and a disciplined game.",,
94,Al-Jay Henderson,BUFF,3.28,RB,"5'9.5""",206,4.52,MAC,7th,TBD,"Productive running back who is coming off a somewhat disappointing season. Patient ball carrier with outstanding vision and instincts. Follows blocks everywhere on the field, finds the open lanes and quickly cuts back against the grain without losing momentum. Quick-footed, possesses an effective jump cut and makes defenders miss. Possesses the agility necessary to turn the corner. Works hard with blocking assignments. Solid pass catcher out of the backfield.",Not a strong back who moves the pile or picks up much yardage off contact. Easily brought down in the open field by a single defender. Was used in a rotational role last season. Plays to one speed.,"Henderson rushed for 1,078 yards and nine TDs as a junior, which resulted in scouts giving him a Day 3 grade before the season, but he struggled in 2025. Finishing the year with 755 yards and six TDs, he did a solid job sharing the ball, which is the way he'll have to make a roster on Sundays.",,
94,Anez Cooper,MIA,3.28,G,"6'5.5""",345,5.31,ACC,7th,TBD,"Massive and powerful interior offensive lineman with an underrated game. Bends his knees, blocks with leverage and quickly gets his hands into defenders. Stays square, keeps his feet moving and anchors at the point in pass protection. Powerful and turns defenders off the line to open running lanes. Stays with assignments and keeps his head on a swivel.",Stiff. Heavy on his feet and struggles to pull across the line of scrimmage.,"Cooper comes with an NFL build, long arms and the playing style to line up in a power gap scheme. While he�s just a small-area blocker, he would excel in an offense that prefers to run the ball.",,
94,Darryl Peterson,WIS,3.28,OLB,"6'1""",254,4.72,BIG 10,6th,TBD,N/A,N/A,N/A,,
94,Dashaun Jones,ALA,3.28,CB,"5'10.5""",183,4.48,SEC,7th,TBD,N/A,N/A,N/A,,
94,David Blay,MIAMI,3.28,DT,N/A,N/A,N/A,ACC,7th,TBD,N/A,N/A,N/A,,
94,Hezekiah Masses,CAL,3.28,CB,"6'0""",180,4.52,ACC,7th,TBD,"Florida International transfer who has been very productive the past two seasons. Tall, built well and plays strong football. Engages receivers at the line of scrimmage, quickly picks up assignments and mixes it up throughout the route. Instinctive, shows good route recognition and tracks the pass in the air. Possesses a nice move to the throw, effectively times pass defenses and out-muscles opponents to knock away passes. Tracks the ball in the air and works well with teammates. Fires upfield to defend screen throws. Hard-hitting and wraps up tackling.","Must improve his overall footwork, as he loses opponents changing direction. Very quick out of his backpedal and prefers to side shuffle. Slow getting his head back around and better facing the action.","Masses was a solid cornerback the past four years, but he really stood out after transferring to Cal last season, when he led the nation with18 pass defenses. He possesses next-level size and would be a nice addition for a zone system.",,
94,Keelan Marion,MIA,3.28,WR,"6'0""",200,4.48,ACC,7th,TBD,"Well-traveled receiver who is coming off a career season. Settles into the open spot of the defense, extends his hands to offer the quarterback a target and consistently makes the reception away from his frame. Tracks the pass in the air, adjusts to the throw and nicely makes the reception in stride. Uses the sidelines well and displays a sense of timing as well as eye/hand coordination and focus. Makes the difficult over-the-shoulder catch in contorted positions.",Unnecessarily leaves his feet on occasion. Has a limited route tree. Was marginally productive until last season.,"After pedestrian numbers at BYU the prior two years, Marion finished the 2025 campaign with 56 receptions, 740 yards and two TDs. He's an athletic wideout with a solid build and next-level speed. The development he displayed last season should push him into the late rounds.",,
94,Kendal Daniels,OU,3.28,OLB,"6'4""",239,4.6,SEC,7th,TBD,N/A,N/A,N/A,,
94,Mason Randolph,BSU,3.28,C,"6'3""",295,5.2,M-WEST,7th,TBD,N/A,N/A,N/A,,
94,Miles Capers,VAN,3.28,DE,"6'3.5""",245,4.72,SEC,7th,TBD,N/A,N/A,N/A,,
94,Miller Moss,LOU,3.28,QB,"6'1.5""",211,4.82,ACC,7th,TBD,"USC transfer who flashed ability the past two seasons. Patient in the pocket, buys time for receivers and takes a big hit to get the throw away. Senses the rush, steps up to avoid defenders and takes off upfield to pick up yardage with his legs. Does a terrific job selling ball fakes, puts touch on passes and delivers a catchable ball. Keeps his eyes downfield while escaping the rush, shows the ability to layer the ball between defenders and remains poised throughout the action. Puts good speed on short and intermediate passes. Only leaves the pocket when necessary, keeps his eyes downfield and effectively commands the offense.",Possesses an average deep arm. Not a big or sturdy pocket passer and easily gets brought down under the rush. Tends to stare down the primary target and is slow to find defenders in the secondary.,Moss was a consistent passer the prior two seasons and has enough ability to get consideration as a third quarterback.,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,X`,,,
